###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_7950.jpg		no	0:00	0:05	0.000	5.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7951.jpg		no	0:05	0:10	5.000	10.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7952.jpg		no	0:10	0:15	10.000	15.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7953.jpg		no	0:15	0:20	15.000	20.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7954.jpg		no	0:20	0:25	20.000	25.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7955.jpg		no	0:25	0:30	25.000	30.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7956.jpg		no	0:30	0:35	30.000	35.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7957.jpg		no	0:35	0:40	35.000	40.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7958.jpg		no	0:40	0:45	40.000	45.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7959.jpg		no	0:45	0:50	45.000	50.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7960.jpg		no	0:50	0:55	50.000	55.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7961.jpg		no	0:55	1:00	55.000	60.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7962.jpg		no	1:00	1:05	60.000	65.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7963.jpg		no	1:05	1:10	65.000	70.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7964.jpg		no	1:10	1:15	70.000	75.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7965.jpg		no	1:15	1:20	75.000	80.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7966.jpg		no	1:20	1:25	80.000	85.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7967.jpg		no	1:25	1:30	85.000	90.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7968.jpg		no	1:30	1:35	90.000	95.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7969.jpg		no	1:35	1:40	95.000	100.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7970.jpg		no	1:40	1:45	100.000	105.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7971.jpg		no	1:45	1:50	105.000	110.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7972.jpg		no	1:50	1:55	110.000	115.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7973.jpg		no	1:55	2:00	115.000	120.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7974.jpg		no	2:00	2:05	120.000	125.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
IMG_7975.jpg		no	2:05	2:10	125.000	130.000	5.000	Schlösser in Bayern			30.1.85 (Mi) 12:00		
